T     E/N       E-var/TT       M/N       M-var/T       Mabs/N       
      1.0000000     -1.9961672    0.030603261     0.38923345   0.0036870862     0.99874564
      1.0000000     -1.9961806    0.030497203     0.38440972   0.0036743056     0.99875000
      1.0000000     -1.9961938    0.030391877     0.37961938   0.0036616132     0.99875433
      1.0000000     -1.9962069    0.030287277     0.37486207   0.0036490083     0.99875862
      1.0000000     -1.9962199    0.030183394     0.37013746   0.0036364899     0.99876289
      1.0000000     -1.9962329    0.030080221     0.36544521   0.0036240570     0.99876712
      1.0000000     -1.9962457    0.029977752     0.36078498   0.0036117089     0.99877133
      1.0000000     -1.9961905    0.030418141     0.35617347   0.0036332905     0.99875850
      1.0000000     -1.9962034    0.030315224     0.35157627   0.0036209951     0.99876271
      1.0000000     -1.9962162    0.030213002     0.34701014   0.0036087826     0.99876689
      1.0000000     -1.9962290    0.030111467     0.34247475   0.0035966523     0.99877104
      1.0000000     -1.9962416    0.030010612     0.33796980   0.0035846032     0.99877517
      1.0000000     -1.9962542    0.029910431     0.33349498   0.0035726345     0.99877926
      1.0000000     -1.9962667    0.029810916     0.32905000   0.0035607456     0.99878333
      1.0000000     -1.9960797    0.031300652     0.32591362   0.0036481098     0.99873754
      1.0000000     -1.9960927    0.031197211     0.32814570   0.0036360511     0.99874172
      1.0000000     -1.9961056    0.031094450     0.33036304   0.0036240717     0.99874587
      1.0000000     -1.9961184    0.030992365     0.33256579   0.0036121711     0.99875000
      1.0000000     -1.9961311    0.030890948     0.33475410   0.0036003483     0.99875410
      1.0000000     -1.9961438    0.030790192     0.33692810   0.0035886027     0.99875817
      1.0000000     -1.9961564    0.030690091     0.33908795   0.0035769334     0.99876221
      1.0000000     -1.9959740    0.032142958     0.33863636   0.0037594873     0.99870130
      1.0000000     -1.9959871    0.032039145     0.33430421   0.0037473424     0.99870550
      1.0000000     -1.9960000    0.031936000     0.33000000   0.0037352758     0.99870968
      1.0000000     -1.9960129    0.031833517     0.32572347   0.0037232866     0.99871383
      1.0000000     -1.9960256    0.031731690     0.32147436   0.0037113741     0.99871795
      1.0000000     -1.9960383    0.031630512     0.31725240   0.0036995376     0.99872204
      1.0000000     -1.9960510    0.031529977     0.31305732   0.0036877764     0.99872611
      1.0000000     -1.9960635    0.031430079     0.30888889   0.0036760897     0.99873016
      1.0000000     -1.9960759    0.031330812     0.30474684   0.0036644768     0.99873418
      1.0000000     -1.9960883    0.031232171     0.30063091   0.0036529371     0.99873817
      1.0000000     -1.9961006    0.031134148     0.29654088   0.0036414699     0.99874214
      1.0000000     -1.9961129    0.031036739     0.29247649   0.0036300744     0.99874608
      1.0000000     -1.9961250    0.030939937     0.28843750   0.0036187500     0.99875000
      1.0000000     -1.9960748    0.031340239     0.28443925   0.0036384924     0.99873832
      1.0000000     -1.9960870    0.031243100     0.28045031   0.0036272125     0.99874224
      1.0000000     -1.9960991    0.031146561     0.27648607   0.0036160023     0.99874613
      1.0000000     -1.9961111    0.031050617     0.27254630   0.0036048611     0.99875000
      1.0000000     -1.9961231    0.030955262     0.26863077   0.0035937884     0.99875385
      1.0000000     -1.9961350    0.030860492     0.26473926   0.0035827835     0.99875767
      1.0000000     -1.9960856    0.031253695     0.26094801   0.0036022744     0.99874618
      1.0000000     -1.9960976    0.031158596     0.26320122   0.0035913110     0.99875000
      1.0000000     -1.9961094    0.031064074     0.26544073   0.0035804141     0.99875380
      1.0000000     -1.9961212    0.030970123     0.26766667   0.0035695831     0.99875758
