T     E/N       E-var/TT       M/N       M-var/T       Mabs/N       
      1.0000000     -1.9963253    0.029343577   -0.044674699   0.0037468819     0.99876205
      1.0000000     -1.9963363    0.029255620   -0.041537538   0.0037356484     0.99876577
      1.0000000     -1.9963353    0.029263646   -0.040321856   0.0037394078     0.99876497
      1.0000000     -1.9963463    0.029176452   -0.043186567   0.0037282635     0.99876866
      1.0000000     -1.9963571    0.029089776   -0.046034226   0.0037171855     0.99877232
      1.0000000     -1.9963680    0.029003613   -0.048864985   0.0037061731     0.99877596
      1.0000000     -1.9963550    0.029106620   -0.051673077   0.0037070022     0.99877367
      1.0000000     -1.9963599    0.029067942   -0.054469027   0.0036990202     0.99877581
      1.0000000     -1.9963529    0.029123266   -0.055542647   0.0037145569     0.99877206
      1.0000000     -1.9963460    0.029178266   -0.053643695   0.0037212191     0.99876979
      1.0000000     -1.9963567    0.029093105   -0.050562865   0.0037103560     0.99877339
      1.0000000     -1.9963615    0.029054917   -0.051297376   0.0037024573     0.99877551
      1.0000000     -1.9963547    0.029109636   -0.050995640   0.0037003900     0.99877471
